;;;;;;;;;;;;;
Problem drug use  >  Overall (ex PDU)  >  All years  >  Geo-coverage  >  National;;;;;;;;;;;;;
;;;;;;;;;;;;;
Country;Year;AA;Method;Central Estimate;Lower Bound of Prevalence Estimate;Upper Bound of Prevalence Estimate;Central rate/1000 (15-64);Lower rate/1000 (15-64);Upper rate/1000 (15-64);Population (15-64);Bibliographic Reference;Target Population Definition;
(48) 3a: Benchmark = data from low threshold facilities, multiplier = nomination technique within questionnaire study among clients of low threshold facilities. We have obtained multiplier for all 14 regions - multiplier filled bellow is a mean of all of them. National estimate is then a sum of estimates for all regions.Sources: A) Total number of clients in contact with all Czech low threshold facilities/programmes (Opiates (heroin + Subutex (buprenorphine)) users (+ other opioids for 2015) and/or pervitin (methamphetamine) users) B)Total number of clients of all low threshold facilities/programes who participated on the questionnaire study within nomination technique (Clients of low threshold facilities/programes). There was a new multiplier for 2013. For 2006 estimate:For Prague new multiplier was obtained in 2007. Therefore estimates have been done separately for Prague and the rest of the Czech Republic. National estimate is a sum of both of them.Estimated number of PDUs - opiates (heroin + Subutex (buprenorphine)(+ other opioids for 2015)) users and/or pervitin (methamphetamine) users in the Czech Republic unless Prague (done by multiplier method with the data on clients in contact with low threshold facilities/programmes).Estimated number of PDUs - opiates (heroin + Subutex (buprenorphine)(+ other opioids for 2015)) users and/or pervitin (methamphetamine) users in Prague (done by multiplier method with the data on clients in contact with low threshold facilities/programmes).  For 2004,2005 estimates:Reports from low-threshold facilities - number of pervitin (methamphetamine) and opiate users in contact with these facilities in 2004/2005.HCV national study - in-treatment rate (portion of above mentioned persons in contact with low-threshold facilities, nomination technique used). For 2002: benchmark - number of pervitin (methamphetamine) and opiate users in contact with low-threshold facilities in 2002.Low-threshold facilities. For 2000: Treatment Demand register.Multiplier method, using as benchmark the Treatment Demand register and for the in-treatment rate capture-recapture and nomination techniques at the local level.   ;;;;;;;;;;;;;
(49) 3b: VZR CR-the biggest healtg insuranse company in the Czech republic. Patients with primary drug dg. F11, F15 and F19 treated i npsychiatric discipline in out- and in- patient facilities. Data from national register of hospitalisations of the National Institute for Health information and statistics, Patients hospitalised for dg. F11, F15 and F19.EPIDAT-information system of notification of newly diagnosed infectious diseases. For 2002 estimate: Saturated log-linear model was used In-Patient register primary and secondary diagnosis (F11, 15, 19) Newly diagnosed VH (IDU).     ;;;;;;;;;;;;;
(50) 5b: Demographic multiplier method, results are less reliable and not included in overall country range.       ;;;;;;;;;;;;;
"(51) 4a: Drug abusers having a persintant use of illegal drugs, including cannabis, which leeds to physical, psycological and social consequenses (This does not match the EMCDDA definition). Capture-recapture method with two registers;Sources: A) The National Patient Register (patients admitted to treatment at the hospital with the ICD-10 code:F11.1, F11.2, F11.9, F12.1, F12.2, F12.9, F14.1, F14.2, F14.9, F15.1, F15.2, F15.9, F19.1, F19.2,F19.9). B) National Register of Drug Abusers undergoing treatment (clients admitted to treatment for their drug problems, including persistant use of cannabis).Estimate for 2001 is estimated to contain 6000 problem users of cannabis only.The estimate for 1996 is not directly comparable with the estimates for 1998 and 2001. For 1996 the National Register of Drug Abusers undergoing Treatment is not as complete as it is for the following years.";;;;;;;;;;;;;
(52) 4b: Treatment cohort and National hospital discharge registry;;;;;;;;;;;;;
(53) 5a: Mortality and HIV/AIDS multipliers are assumed to give estimates of injecting drug use, which is only part of the problem drug use. The police and treatment multiplier methods are assumed to result in estimates to problem drug use ;;;;;;;;;;;;;
(54) 5d: National extrapolation from treatment data stemming from two different sources (i.e. the German Statistical Report on Treatment Centres for Substance Use Disorders [Deutsche Suchthilfestatistik, DSHS] and the Statistical Report on Hospital Diagnoses [Krankenhausdiagnosestatistik des Statistischen Bundesamtes]). In particular, the overall figure of treated cases is calculated on the basis of recorded client figures in outpatient and inpatient treatment, the total figure of counselling facilities as well as a multiplier (due to the lack of full coverage) for reaching the target group. The multiplier derives from respective publications providing estimates of problematic use of illicit substances and help-seeking behaviour in the general population and comparisons to the availability of substance use health care in the same area. Moreover, the minimum and maximum estimate corresponds to the calculation when estimating a 20% or a 5% double counting rate, respectively. Compared to previous years, an additional source of information was used for acquiring an updated total number of cases in treatment due to substance (i.e. opiates, cocaine and stimulants) related problems: until 2010, the part on inpatient treatment was only based on the diagnostic data of the patients in hospitals (Statistical Report on Hospital Diagnoses), whereas since 2012 (2011 data), the DSHS was added to refine the estimation based on inpatient treatment cases. In addition to this, since 2011 (2010 data), a new source of information was used for acquiring an updated total number of the existing outpatient facilities, which is required as a reference number to estimate the coverage. Specifically, from 2005 onwards -due to the lack of most recent reliable data- an unchanged number referring to the total number of facilities was being used deriving from a study in 2004 (N=934). It can be assumed that this was leading to an underestimation of the estimate in the treatment setting since the expansion of the care system was not being taken into account. Since 2008 the Central Register of In- and Out-patient Treatment Facilities for Substance Use Disorders serves as a source for providing the total number of outpatient facilities. The structure of this Register is adjusted to the definitions used in the core data system of the DSHS.;;;;;;;;;;;;;
"(55) 7a: Combined interval from multiple capture-recapture and truncated Poisson.6308: estimate for problematic opiate users with medical problems; 13735: estimate for opiate users with both medical and social/legal problems; The higher figure only is compatible with the EMCDDA definition of problem drug use and is used for country comparisons.";;;;;;;;;;;;;
(56) 9a: For Problematic opioid and cocaine users: Demographic method treatment admissions (first treatment admissions for opiates and for cocaine, and then added up).Mean number of years of cocaine use for all admissions and, probably as an upper limit, 2* mean number of years of cocaine use for new admissions (first treatment).For Problematic drug users: Multiplier method for opiates and demographic method (low and high bound) for cocaine treatment admissions data.Multiplier data for opiates has been corrected for admissions reporting both opiate and cocaine use.;;;;;;;;;;;;;
"(57) 10a1: Six variables were initially considered for each mainland department, expressed as levels per 100,000 inhabitants between 15 and 64 years old: the number of people receiving treatment; the number of low-threshold centre users;  Stéribox ® (sterile syringe kit) sales figures; methadone sales figures; high dose buprenorphine (HDB) sales figures; and drug law offences (ILS).  Five other socio-demographic indicators were subsequently considered: unemployment rate; medium income; enrolment percentage for 17 to 25-year-olds in a higher education establishment; population receiving social assistance or specific grants; population with French universal Social Security cover (CMU).Firstly, a correlation matrix was produced for the variables concerned in order to identify statistically significant relationships.  Secondly, the variables used were subjected to a principal component analysis (PCA), with the aim of weighting each individual statistic (in this case the 96 mainland départements) in order to estimate the user population. For 2011:MIM based on 6 anchor points - firstly extrapolated to the """"départements"""" and secondly extended to all 96 """"départements"""" of metropolitan France. Police and treatment centres, number of Steribox and average OST doses were calculated using data provided by the Social security. For TM estimate:The (N = B / c) method is based on the ability to estimate two values: B: Number of drug users undergoing treatment in a given year; c: the probability, for a drug user, of being treated during the year. These values are not directly available in France although they may be estimated from substitution treatment data, which are widely accessible for drug users.  Based on HDB and methadone sales data in 2006, and using the currently accepted hypotheses on average daily doses prescribed for these two drugs (8 mg for HDB and 60 mg for methadone), the number of drug users receiving substitution treatment in mainland France can be estimated at 85,000. These data are also available on a departmental scale.  They can therefore be compared to the estimates of the number of problem drug users from the NEMO studies in order to estimate the probability of a problem drug user receiving this type of treatment.  NEMO study Six """"three-sample capture/recapture analyses"""" were carried out in 2005-2006 in order to estimate the number of problem drug users in Lille, Lyon, Marseille, Metz, Rennes and Toulouse (NEMO study). In each participating town, the geographical area was defined taking account of the presence and coverage of the existing data sources and the administrative relevance of the geographical divisions.  The study areas were the following: the Urban Community of Lille Métropole with almost 1.1 million inhabitants, """"Greater Lyon"""" comprising 57 districts with almost 1.2 million inhabitants, inner Marseille with almost 800,000 inhabitants, the Metz area covering 61 districts with 310,000 inhabitants, the Rennes area comprising 10 districts with almost 270,000 inhabitants and the Toulouse metropolitan area with 72 districts and 760,000 inhabitants. Data sources for problem drug users were identified and the data were collected from these sources over a six-month period between 2005 and 2006. These sources notably included the drug treatment centres, general practitioners, hospital units (infectious diseases, accident and emergency departments), low-threshold reception facilities (CAARUD), social services and law enforcement sources such as drug squads, the justice system, treatment units in prison and data held by the Central Office for the Repression of Narcotics Trafficking (OCRTIS).";;;;;;;;;;;;;
(58) 10b: Multiplier (demographic, treatment, police), multivariate indicator.November Drug Addiction Survey (drud addiction tratment centres)National File of Perpetrators of Drug-Related Offences (police arrests for using and using and selling opiates or cocaine).System for Information on Availability of medicinal Injection and Substitution Materials (sales of Steribox and Subutex)Local estimations of the prevalence of problemati drug user (Capture-Recapture).For demographic multiplier method, results are less reliable and not included in overall country range.   ;;;;;;;;;;;;;
